repo_name,total_contributions,n_contributors_total,core_n,peripheral_n,core_peripheral_ratio,core_top_fraction
scikit-learn/blog,631,9,2,7,0.2857142857142857,0.2
QuantEcon/lecture-python-advanced.myst,862,9,2,7,0.2857142857142857,0.2
napari/meeting-notes,147,9,2,7,0.2857142857142857,0.2
yt-project/yt,14997,9,2,7,0.2857142857142857,0.2
numpy/numpydoc,250,9,2,7,0.2857142857142857,0.2
SciML/SciMLBase.jl,13865,9,2,7,0.2857142857142857,0.2
SciML/DiffEqBase.jl,11827,9,2,7,0.2857142857142857,0.2
galaxyproject/usegalaxy-playbook,4532,9,2,7,0.2857142857142857,0.2
conda/infra,351,9,2,7,0.2857142857142857,0.2
holoviz/param,2704,9,2,7,0.2857142857142857,0.2
zarr-developers/numcodecs,1926,9,2,7,0.2857142857142857,0.2
scverse/governance,303,9,2,7,0.2857142857142857,0.2
FEniCS/web,1123,9,2,7,0.2857142857142857,0.2
galaxyproject/admin-training,1626,9,2,7,0.2857142857142857,0.2
scientific-python/learn.scientific-python.org,874,9,2,7,0.2857142857142857,0.2
ipython/traitlets,346,9,2,7,0.2857142857142857,0.2
SciML/ModelingToolkitStandardLibrary.jl,2489,9,2,7,0.2857142857142857,0.2
SciML/SciMLDocs,2741,9,2,7,0.2857142857142857,0.2
SciML/SciMLSensitivity.jl,14042,9,2,7,0.2857142857142857,0.2
JuliaLang/LinearAlgebra.jl,207,9,2,7,0.2857142857142857,0.2
galaxyproject/gxy.io,99,9,2,7,0.2857142857142857,0.2
pymc-devs/pymcon_web_series_website,330,9,2,7,0.2857142857142857,0.2
openfheorg/openfhe-python,1237,9,2,7,0.2857142857142857,0.2
QuantEcon/workshop.africa-july2023,292,9,2,7,0.2857142857142857,0.2
scientific-python/upload-nightly-action,221,9,2,7,0.2857142857142857,0.2
pybamm-team/pybamm.org,2643,9,2,7,0.2857142857142857,0.2
scverse/multi-condition-comparisions,598,9,2,7,0.2857142857142857,0.2
galaxyproject/brc-analytics,407,9,2,7,0.2857142857142857,0.2
ropensci/roweb3,8920,8,2,6,0.3333333333333333,0.2
QuantEcon/lecture-datascience.myst,452,8,2,6,0.3333333333333333,0.2
QuantEcon/lecture-julia.myst,665,8,2,6,0.3333333333333333,0.2
numpy/numpy.org,2721,8,2,6,0.3333333333333333,0.2
fortran-lang/fortran-lang.org,173,8,2,6,0.3333333333333333,0.2
econ-ark/HARK,7361,8,2,6,0.3333333333333333,0.2
napari/cookiecutter-napari-plugin,73,8,2,6,0.3333333333333333,0.2
InsightSoftwareConsortium/itk-wasm,4643,8,2,6,0.3333333333333333,0.2
stan-dev/cmdstan,16003,8,2,6,0.3333333333333333,0.2
SciML/StructuralIdentifiability.jl,13620,8,2,6,0.3333333333333333,0.2
scipy/scipy.org,141,8,2,6,0.3333333333333333,0.2
matplotlib/cheatsheets,91,8,2,6,0.3333333333333333,0.2
InsightSoftwareConsortium/GetYourBrainStraight,290,8,2,6,0.3333333333333333,0.2
SciML/DiffEqFlux.jl,5247,8,2,6,0.3333333333333333,0.2
galaxyproject/planemo,840,8,2,6,0.3333333333333333,0.2
QuantEcon/lecture-python-programming.myst,2369,8,2,6,0.3333333333333333,0.2
FEniCS/performance-test,198,8,2,6,0.3333333333333333,0.2
SciML/StochasticDiffEq.jl,491,8,2,6,0.3333333333333333,0.2
tardis-sn/tardis-refdata,79,8,2,6,0.3333333333333333,0.2
tardis-sn/tardis-sn.github.io,477,8,2,6,0.3333333333333333,0.2
tardis-sn/carsus,269,8,2,6,0.3333333333333333,0.2
jupyter/nbformat,403,8,2,6,0.3333333333333333,0.2
nteract/papermill,171,8,2,6,0.3333333333333333,0.2
conda/conda-package-handling,1503,8,2,6,0.3333333333333333,0.2
pymc-devs/pymc.io,152,8,2,6,0.3333333333333333,0.2
nipy/heudiconv,1309,8,2,6,0.3333333333333333,0.2
holoviz/datashader,3931,8,2,6,0.3333333333333333,0.2
dask/dask-gateway,2003,8,2,6,0.3333333333333333,0.2
holoviz/geoviews,1849,8,2,6,0.3333333333333333,0.2
SciML/NeuralOperators.jl,1387,8,2,6,0.3333333333333333,0.2
QuantEcon/book-networks,366,8,2,6,0.3333333333333333,0.2
holoviz/holoviz,778,8,2,6,0.3333333333333333,0.2
Open-MBEE/open-mbee.github.io,62,8,2,6,0.3333333333333333,0.2
jupyter/nbclassic,2552,8,2,6,0.3333333333333333,0.2
jupyter/jupyter_events,248,8,2,6,0.3333333333333333,0.2
SciML/Optimization.jl,8881,8,2,6,0.3333333333333333,0.2
fortran-lang/webpage,2942,8,2,6,0.3333333333333333,0.2
conda/conda-standalone,321,8,2,6,0.3333333333333333,0.2
napari/napari-plugin-manager,501,8,2,6,0.3333333333333333,0.2
scverse/anndataR,1820,8,2,6,0.3333333333333333,0.2
MDAnalysis/UGM2023,175,8,2,6,0.3333333333333333,0.2
conda/governance,332,8,2,6,0.3333333333333333,0.2
zarr-developers/VirtualiZarr,1302,8,2,6,0.3333333333333333,0.2
spyder-ide/spyder,8796,7,2,5,0.4,0.2
SciML/RecursiveArrayTools.jl,4284,7,2,5,0.4,0.2
ipython/ipython,1549,7,2,5,0.4,0.2
jupyter/jupyter,148,7,2,5,0.4,0.2
astropy/astropy-data,414,7,2,5,0.4,0.2
JuliaLang/llvm-project,24621,7,2,5,0.4,0.2
matplotlib/ipympl,231,7,2,5,0.4,0.2
galaxyproject/ansible-galaxy,249,7,2,5,0.4,0.2
astropy/astropy-tutorials,295,7,2,5,0.4,0.2
econ-ark/econ-ark.org,212,7,2,5,0.4,0.2
numpy/numpy-tutorials,204,7,2,5,0.4,0.2
matplotlib/pytest-mpl,338,7,2,5,0.4,0.2
SciML/DifferenceEquations.jl,895,7,2,5,0.4,0.2
SciML/SBMLToolkit.jl,808,7,2,5,0.4,0.2
scientific-python/scientific-python-hugo-theme,526,7,2,5,0.4,0.2
OSGeo/OSGeoLive-doc,19303,7,2,5,0.4,0.2
numpy/archive,352,7,2,5,0.4,0.2
geopandas/geopandas,856,7,2,5,0.4,0.2
SciML/ExponentialUtilities.jl,1483,7,2,5,0.4,0.2
galaxyproject/gx-it-proxy,31,7,2,5,0.4,0.2
SciML/DelayDiffEq.jl,2654,7,2,5,0.4,0.2
SciML/DataDrivenDiffEq.jl,2885,7,2,5,0.4,0.2
SciML/MethodOfLines.jl,3649,7,2,5,0.4,0.2
dask/dask-docker,503,7,2,5,0.4,0.2
SciML/CellMLToolkit.jl,912,7,2,5,0.4,0.2
SciML/DiffEqProblemLibrary.jl,697,7,2,5,0.4,0.2
napari/napari-sphinx-theme,217,7,2,5,0.4,0.2
scverse/muon,340,7,2,5,0.4,0.2
econ-ark/REMARK,137,7,2,5,0.4,0.2
JuliaLang/libuv,1236,7,2,5,0.4,0.2
jupyter/jupyter_core,201,7,2,5,0.4,0.2
jupyter/nbgrader,627,7,2,5,0.4,0.2
jupyter/nbdime,220,7,2,5,0.4,0.2
scverse/squidpy_notebooks,181,7,2,5,0.4,0.2
SciML/BoundaryValueDiffEq.jl,2165,7,2,5,0.4,0.2
SciML/SciMLOperators.jl,2091,7,2,5,0.4,0.2
JuliaLang/Example.jl,59,7,2,5,0.4,0.2
napari/npe2api,55418,7,2,5,0.4,0.2
scverse/spatialdata-notebooks,1353,7,2,5,0.4,0.2
conda/conda-package-streaming,353,7,2,5,0.4,0.2
conda/conda-libmamba-solver,2107,7,2,5,0.4,0.2
SciML/EasyModelAnalysis.jl,2762,7,2,5,0.4,0.2
conda/conda-lock,6433,7,2,5,0.4,0.2
SciML/ADTypes.jl,1252,7,2,5,0.4,0.2
JuliaLang/PrecompileTools.jl,91,7,2,5,0.4,0.2
scientific-python/cookie,4265,7,2,5,0.4,0.2
scientific-python/tools.scientific-python.org,88,7,2,5,0.4,0.2
sunpy/sunkit-spex,198,7,2,5,0.4,0.2
SciML/ModelingToolkitNeuralNets.jl,439,7,2,5,0.4,0.2
MDAnalysis/MDAnalysisMolSSIWorkshop-Intermediate2Day,133,7,2,5,0.4,0.2
conda/conda-dot-org,114,7,2,5,0.4,0.2
conda/issue-tracker,16453,6,2,4,0.5,0.2
gammapy/gammapy-benchmarks,1848,6,2,4,0.5,0.2
jump-dev/JuMP.jl,39416,6,2,4,0.5,0.2
pymc-devs/pymc-data-umbrella,342,6,2,4,0.5,0.2
yt-project/yt_astro_analysis,275,6,2,4,0.5,0.2
PyTables/PyTables,6904,6,2,4,0.5,0.2
scikit-learn/enhancement_proposals,57,6,2,4,0.5,0.2
astropy/learn-astropy,131,6,2,4,0.5,0.2
bokeh/pm,182,6,2,4,0.5,0.2
astropy/pyvo,1032,6,2,4,0.5,0.2
sunpy/ndcube,10226,6,2,4,0.5,0.2
FEniCS/docs,1831,6,2,4,0.5,0.2
stan-dev/cmdstanr,32383,6,2,4,0.5,0.2
SciML/DiffEqGPU.jl,1858,6,2,4,0.5,0.2
pangeo-data/xESMF,1547,6,2,4,0.5,0.2
astropy/reproject,850,6,2,4,0.5,0.2
astropy/SPISEA,688,6,2,4,0.5,0.2
SciML/PreallocationTools.jl,1043,6,2,4,0.5,0.2
dask/dask-tutorial,88,6,2,4,0.5,0.2
sympy/sympy.github.com,59,6,2,4,0.5,0.2
bokeh/tutorial,156,6,2,4,0.5,0.2
InsightSoftwareConsortium/ITKSphinxExamples,285,6,2,4,0.5,0.2
astropy/specreduce,301,6,2,4,0.5,0.2
galaxyproject/gravity,359,6,2,4,0.5,0.2
QuantEcon/website,386,6,2,4,0.5,0.2
SciML/Surrogates.jl,2899,6,2,4,0.5,0.2
MDAnalysis/solvation-analysis,483,6,2,4,0.5,0.2
SciML/GlobalSensitivity.jl,1702,6,2,4,0.5,0.2
gammapy/gammapy-v1.0-paper,726,6,2,4,0.5,0.2
astropy/astropy-workshop,175,6,2,4,0.5,0.2
galaxyproject/dockstore-galaxy-interface,58,6,2,4,0.5,0.2
holoviz/colorcet,118,6,2,4,0.5,0.2
galaxyproject/tools-devteam,53,6,2,4,0.5,0.2
conda/ceps,34,6,2,4,0.5,0.2
scientific-python/blog.scientific-python.org,235,6,2,4,0.5,0.2
SciML/ReactionNetworkImporters.jl,773,6,2,4,0.5,0.2
jump-dev/Gurobi.jl,852,6,2,4,0.5,0.2
dask/zict,46,6,2,4,0.5,0.2
astropy/astropy-tools,187,6,2,4,0.5,0.2
yt-project/website,53,6,2,4,0.5,0.2
holoviz/pyviz_comms,104,6,2,4,0.5,0.2
astropy/astropy-APEs,146,6,2,4,0.5,0.2
JuliaLang/Compat.jl,980,6,2,4,0.5,0.2
InsightSoftwareConsortium/itkwidgets,672,6,2,4,0.5,0.2
InsightSoftwareConsortium/insightsoftwareconsortium.org,153,6,2,4,0.5,0.2
InsightSoftwareConsortium/ITKElastix,530,6,2,4,0.5,0.2
JuliaLang/IJulia.jl,95,6,2,4,0.5,0.2
FEniCS/spack,67551,6,2,4,0.5,0.2
zarr-developers/zarr-specs,525,6,2,4,0.5,0.2
matplotlib/napari-matplotlib,1047,6,2,4,0.5,0.2
SciML/HighDimPDE.jl,1376,6,2,4,0.5,0.2
sunpy/sunpy-soar,208,6,2,4,0.5,0.2
SciML/SteadyStateDiffEq.jl,352,6,2,4,0.5,0.2
SciML/ModelOrderReduction.jl,547,6,2,4,0.5,0.2
holoviz/spatialpandas,162,6,2,4,0.5,0.2
SciML/RuntimeGeneratedFunctions.jl,604,6,2,4,0.5,0.2
SciML/JumpProcesses.jl,2812,6,2,4,0.5,0.2
pangeo-data/foss4g-2022,640,6,2,4,0.5,0.2
JuliaLang/BugReporting.jl,199,6,2,4,0.5,0.2
MDAnalysis/cookiecutter-mdakit,656,6,2,4,0.5,0.2
napari/packaging,707,6,2,4,0.5,0.2
SciML/SciMLExpectations.jl,950,6,2,4,0.5,0.2
conda/conda-plugin-template,267,6,2,4,0.5,0.2
FEniCS/governance,19,6,2,4,0.5,0.2
conda/.github,204,6,2,4,0.5,0.2
scverse/spatialdata-io,2123,6,2,4,0.5,0.2
conda/conda-index,1044,6,2,4,0.5,0.2
scverse/scanpy-tutorials,811,6,2,4,0.5,0.2
SciML/SimpleNonlinearSolve.jl,2394,6,2,4,0.5,0.2
MDAnalysis/hole2-mdakit,85,6,2,4,0.5,0.2
holoviz/holonote,1018,6,2,4,0.5,0.2
scientific-python/devstats,109,6,2,4,0.5,0.2
astropy/astropy-iers-data,169,6,2,4,0.5,0.2
MDAnalysis/MDAnalysisWorkshop2023,36,6,2,4,0.5,0.2
MDAnalysis/mdaencore,209,6,2,4,0.5,0.2
JuliaLang/StyledStrings.jl,1871,6,2,4,0.5,0.2
Open-MBEE/flexo-mms-layer1-service,360,6,2,4,0.5,0.2
QuantEcon/reading-group-2024,87,6,2,4,0.5,0.2
sunpy/streamtracer,1124,6,2,4,0.5,0.2
sunpy/sunkit-magex,3475,6,2,4,0.5,0.2
MDAnalysis/MDAnalysisWorkshop-Intro0.5Day,78,6,2,4,0.5,0.2
dask/dask-expr,1012,6,2,4,0.5,0.2
scverse/pytometry,75,6,2,4,0.5,0.2
scverse/pertpy,137,6,2,4,0.5,0.2
galaxyproject/galaxy_codex,532,6,2,4,0.5,0.2
conda/rattler,394,6,2,4,0.5,0.2
pybamm-team/pybamm-cookie,77,6,2,4,0.5,0.2
JuliaLang/docs.julialang.org,27081,5,1,4,0.25,0.2
ropensci/dev_guide,3889,5,1,4,0.25,0.2
econ-ark/DemARK,130,5,1,4,0.25,0.2
scikit-learn/scikit-learn.github.io,3394,5,1,4,0.25,0.2
stan-dev/rstan,6462,5,1,4,0.25,0.2
ropensci/NLMR,66,5,1,4,0.25,0.2
cupy/cupy,6796,5,1,4,0.25,0.2
InsightSoftwareConsortium/InsightJournal,252,5,1,4,0.25,0.2
Blosc/c-blosc2,4625,5,1,4,0.25,0.2
jupyter/docker-stacks,2704,5,1,4,0.25,0.2
scikit-learn/administrative,356,5,1,4,0.25,0.2
SciML/Static.jl,460,5,1,4,0.25,0.2
QuantEcon/python-lecture-sandpit.myst,147,5,1,4,0.25,0.2
mlpack/examples,248,5,1,4,0.25,0.2
jump-dev/MathOptInterface.jl,33005,5,1,4,0.25,0.2
stan-dev/posterior,726,5,1,4,0.25,0.2
pystatgen/sgkit,380,5,1,4,0.25,0.2
jupyter/nbclient,181,5,1,4,0.25,0.2
stan-dev/projpred,5688,5,1,4,0.25,0.2
dask/dask-ml,43,5,1,4,0.25,0.2
jump-dev/Dualization.jl,259,5,1,4,0.25,0.2
pydata/sparse,3011,5,1,4,0.25,0.2
zarr-developers/zarr-developers.github.io,220,5,1,4,0.25,0.2
astropy/asdf-astropy,783,5,1,4,0.25,0.2
SciML/QuasiMonteCarlo.jl,679,5,1,4,0.25,0.2
gammapy/gammapy-docs,872,5,1,4,0.25,0.2
pangeo-data/pangeo-cmip6-cloud,500,5,1,4,0.25,0.2
SciML/LabelledArrays.jl,611,5,1,4,0.25,0.2
ropensci/software-review,800,5,1,4,0.25,0.2
SciML/sciml.ai,2892,5,1,4,0.25,0.2
pangeo-data/scikit-downscale,83,5,1,4,0.25,0.2
jupyter/accessibility,405,5,1,4,0.25,0.2
SciML/SciMLTutorials.jl,1375,5,1,4,0.25,0.2
SciML/RootedTrees.jl,2035,5,1,4,0.25,0.2
astropy/specutils,396,5,1,4,0.25,0.2
MDAnalysis/membrane-curvature,120,5,1,4,0.25,0.2
dask/helm-chart,1782,5,1,4,0.25,0.2
geopandas/pyogrio,2026,5,1,4,0.25,0.2
InsightSoftwareConsortium/ITKSoftwareGuide,67,5,1,4,0.25,0.2
MDAnalysis/GridDataFormats,133,5,1,4,0.25,0.2
SciML/ParameterizedFunctions.jl,977,5,1,4,0.25,0.2
sunpy/sunpy-SEP,39,5,1,4,0.25,0.2
InsightSoftwareConsortium/ITKMGHImageIO,49,5,1,4,0.25,0.2
conda/schemas,319,5,1,4,0.25,0.2
gammapy/gammapy-data,89,5,1,4,0.25,0.2
ropensci/landscapetools,26,5,1,4,0.25,0.2
fortran-lang/fftpack,159,5,1,4,0.25,0.2
galaxyproject/galaxy-helm,2077,5,1,4,0.25,0.2
InsightSoftwareConsortium/ITKModuleTemplate,55,5,1,4,0.25,0.2
jupyter/nbviewer,158,5,1,4,0.25,0.2
mlpack/ensmallen,315,5,1,4,0.25,0.2
SciML/ReservoirComputing.jl,1755,5,1,4,0.25,0.2
gammapy/gammapy-webpage,190,5,1,4,0.25,0.2
fortran-lang/minpack,161,5,1,4,0.25,0.2
openfheorg/openfhe-temp,101,5,1,4,0.25,0.2
nipy/nibabel,1489,5,1,4,0.25,0.2
dask/dask-image,84,5,1,4,0.25,0.2
stan-dev/design-docs,145,5,1,4,0.25,0.2
matplotlib/mpl-sphinx-theme,149,5,1,4,0.25,0.2
dask/dask-blog,28,5,1,4,0.25,0.2
jump-dev/Xpress.jl,1447,5,1,4,0.25,0.2
astropy/extension-helpers,239,5,1,4,0.25,0.2
galaxyproject/total-perspective-vortex,641,5,1,4,0.25,0.2
arviz-devs/preliz,672,5,1,4,0.25,0.2
matplotlib/cycler,54,5,1,4,0.25,0.2
scverse/scirpy,4031,5,1,4,0.25,0.2
nipy/nipype,819,5,1,4,0.25,0.2
Blosc/blogsite,348,5,1,4,0.25,0.2
jump-dev/ParametricOptInterface.jl,669,5,1,4,0.25,0.2
SciML/SymbolicNumericIntegration.jl,731,5,1,4,0.25,0.2
ropensci/gendercoder,14,5,1,4,0.25,0.2
napari/napari-animation,122,5,1,4,0.25,0.2
scipy/unuran,13,5,1,4,0.25,0.2
InsightSoftwareConsortium/ITKDoxygen,990,5,1,4,0.25,0.2
galaxyproject/galaxy-test-data,17,5,1,4,0.25,0.2
SciML/PolyChaos.jl,160,5,1,4,0.25,0.2
galaxyproject/wheelforge,114,5,1,4,0.25,0.2
Open-MBEE/mms5-layer1-service,910,5,1,4,0.25,0.2
SciML/DiffEqNoiseProcess.jl,1124,5,1,4,0.25,0.2
scipy/docs.scipy.org,26,5,1,4,0.25,0.2
yt-project/unyt,2948,5,1,4,0.25,0.2
SciML/DiffEqBayes.jl,2947,5,1,4,0.25,0.2
MDAnalysis/WorkshopMDMLEdinburgh2022,111,5,1,4,0.25,0.2
SciML/Integrals.jl,636,5,1,4,0.25,0.2
InsightSoftwareConsortium/LesionSizingToolkit,18,5,1,4,0.25,0.2
SciML/DeepEquilibriumNetworks.jl,1940,5,1,4,0.25,0.2
SciML/PoissonRandom.jl,412,5,1,4,0.25,0.2
MDAnalysis/panedr,149,5,1,4,0.25,0.2
JuliaLang/BumpStdlibs.jl,239,5,1,4,0.25,0.2
SciML/DiffEqFinancial.jl,344,5,1,4,0.25,0.2
Blosc/python-blosc2,4279,5,1,4,0.25,0.2
Cantera/symposium-2022-materials,63,5,1,4,0.25,0.2
scikit-image/meeting-notes,29,5,1,4,0.25,0.2
JuliaLang/MbedTLS.jl,55,5,1,4,0.25,0.2
pangeo-data/pangeo-eosc,146,5,1,4,0.25,0.2
scipy/scipy-cookbook,19,5,1,4,0.25,0.2
JuliaLang/VersionsJSONUtil.jl,67,5,1,4,0.25,0.2
MDAnalysis/MDAKits,1052,5,1,4,0.25,0.2
galaxyproject/tpv-shared-database,416,5,1,4,0.25,0.2
lfortran/lcompilers_frontend,338,5,1,4,0.25,0.2
napari/napari-console,20,5,1,4,0.25,0.2
pymc-devs/pymc-bart,615,5,1,4,0.25,0.2
bokeh/ipywidgets_bokeh,205,5,1,4,0.25,0.2
QuantEcon/book-dp1,203,5,1,4,0.25,0.2
Open-MBEE/TMT-SysML-Model,41,5,1,4,0.25,0.2
ipython/comm,36,5,1,4,0.25,0.2
napari/napari-workshop-template,39,5,1,4,0.25,0.2
conda/communications,52,5,1,4,0.25,0.2
conda/grayskull,209,5,1,4,0.25,0.2
ropensci/openalexR,1786,5,1,4,0.25,0.2
jupyter/software-steering-council-team-compass,25,5,1,4,0.25,0.2
MDAnalysis/scipy_proceedings,80,5,1,4,0.25,0.2
scientific-python/changelist,77,5,1,4,0.25,0.2
scientific-python/sync-teams-action,26,5,1,4,0.25,0.2
pybamm-team/pybamm-cookiecutter,144,5,1,4,0.25,0.2
scverse/rapids_singlecell,6439,5,1,4,0.25,0.2
